番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
11,unity,noun,/ˈjuːnəti/,団結、一体感,the state of being together or united,人々・国・組織などがまとまっている状態を表す。Task 2で社会・文化・チームワークの話題に使いやすい。,national unity / social unity / promote unity / a sense of unity,Sports events can promote unity among people from different backgrounds.,スポーツイベントは異なる背景を持つ人々の間に一体感を促進できる。,togetherness; harmony; solidarity; cohesion,Task 2のsocietyやcultureの話題で便利。
12,diabetes,noun,/ˌdaɪəˈbiːtiːz/,糖尿病,a disease in which the body cannot control blood sugar,健康・食生活・高齢化社会の話題でよく出る病名。不可算名詞として使われることが多く、“a diabetes” とは言わない。,type 2 diabetes / develop diabetes / prevent diabetes / diabetes patients,Unhealthy eating habits can increase the risk of diabetes.,不健康な食習慣は糖尿病のリスクを高める可能性がある。,high blood sugar disease; chronic disease; metabolic disorder,Task 2のhealth topicで使いやすい。スペルと発音に注意。
13,fortifying,adjective,/ˈfɔːrtəfaɪɪŋ/,強化する、栄養を加える,strengthening something or adding nutrients,食品にビタミンやミネラルを加えて栄養価を高める時によく使う。精神的・物理的に「強化する」という意味でも使える。,fortifying food with vitamins / fortifying milk / fortifying the body / fortifying public health,Fortifying basic foods with vitamins can help reduce malnutrition.,基本的な食品にビタミンを加えることは栄養失調を減らすのに役立つ。,strengthening; enriching; reinforcing; improving,健康・栄養・公衆衛生のTask 2で使えるが、使い方は少し限定的。
14,suitability,noun,/ˌsuːtəˈbɪləti/,適切さ、ふさわしさ,how appropriate something is for a purpose,ある物・方法・場所・人が目的に合っているかを表す名詞。フォーマルで、Task 1やTask 2の評価表現に使いやすい。,assess suitability / determine suitability / suitability for children / suitability of a method,The suitability of online learning depends on students’ age and learning style.,オンライン学習の適切さは、生徒の年齢や学習スタイルによって異なる。,appropriateness; fitness; compatibility; relevance,Task 2で “the suitability of...” として使いやすい。
15,endurance,noun,/ɪnˈdʊrəns/,持久力、忍耐力,the ability to continue for a long time,身体的な持久力だけでなく、困難に耐える精神的な力にも使える。スポーツ・仕事・学習の話題で使いやすい。,physical endurance / mental endurance / build endurance / test endurance,Regular exercise can improve both physical strength and endurance.,定期的な運動は体力と持久力の両方を向上させることができる。,stamina; resilience; perseverance; staying power,Speakingでsportやstudy habitsを話す時に便利。
16,caregiver,noun,/ˈkerˌɡɪvər/,介護者、世話をする人,a person who looks after someone who needs help,高齢者・子ども・病人などを世話する人を指す。家族介護や医療制度の話題で使いやすい。,family caregiver / professional caregiver / support caregivers / caregiver burden,Many family caregivers face emotional and financial pressure.,多くの家族介護者は精神的・経済的な負担に直面している。,carer; caretaker; nursing assistant; support worker,Task 2のaging societyやhealthcareで便利。
17,masculine,adjective,/ˈmæskjəlɪn/,男性的な、男らしい,having qualities traditionally related to men,性別・文化・ステレオタイプの話題で使う。ややセンシティブな語なので、固定観念として述べる時は “traditionally” を入れると安全。,masculine image / masculine behaviour / traditionally masculine roles / masculine identity,"In some societies, leadership is still associated with traditionally masculine qualities.",一部の社会では、リーダーシップはいまだに伝統的に男性的とされる性質と結びつけられている。,male; manly; traditionally male; macho,Task 2でgender rolesを扱う時に使えるが、断定しすぎに注意。
18,aggression,noun,/əˈɡreʃən/,攻撃性、攻撃的行動,angry or violent behaviour,人や動物の攻撃的な態度・行動を表す。犯罪・教育・メディア暴力などの話題で使いやすい。,violent aggression / physical aggression / reduce aggression / aggression in children,Some people argue that violent video games may increase aggression in children.,一部の人々は、暴力的なビデオゲームが子どもの攻撃性を高める可能性があると主張する。,hostility; violence; anger; aggressiveness,Task 2のcrimeやchildren topicで使える。
19,achieve,verb,/əˈtʃiːv/,達成する、成し遂げる,to succeed in doing something,目標・成果・成功を得る時に使う基本動詞。“get” よりフォーマルで、IELTS Writingで非常に使いやすい。,achieve a goal / achieve success / achieve better results / achieve economic growth,Students can achieve better results if they receive regular feedback.,生徒は定期的なフィードバックを受ければ、より良い結果を達成できる。,accomplish; attain; reach; succeed in,Task 1・Task 2・Speakingすべてで使える重要語。
20,distinguish,verb,/dɪˈstɪŋɡwɪʃ/,区別する、見分ける,to recognize the difference between things,似ている物事の違いを認識する時に使う。Readingにもよく出るし、Writingでは “distinguish A from B” の形が便利。,distinguish A from B / clearly distinguish / difficult to distinguish / distinguish between ideas,It is important to distinguish facts from opinions in academic writing.,学術的な文章では、事実と意見を区別することが重要である。,differentiate; tell apart; recognize; separate,元の “distinguishe” はスペルミスなので “distinguish” が正しい。
21,cross-cultural,adjective,/ˌkrɔːs ˈkʌltʃərəl/,異文化間の,involving different cultures,複数の文化の間で起こる交流・理解・違いを表す。留学・国際ビジネス・移民の話題で使いやすい。,cross-cultural communication / cross-cultural understanding / cross-cultural exchange / cross-cultural differences,Cross-cultural communication skills are essential in international workplaces.,異文化間コミュニケーション能力は国際的な職場で不可欠である。,intercultural; multicultural; international; culture-based,Task 2のglobalisationやeducation topicで非常に便利。
22,insecurity,noun,/ˌɪnsɪˈkjʊrəti/,不安、自信のなさ、不安定さ,a feeling of not being confident or safe,個人の自信のなさにも、雇用や社会の不安定さにも使える。文脈によって意味が変わるので注意。,emotional insecurity / job insecurity / financial insecurity / feelings of insecurity,Job insecurity can negatively affect workers’ mental health.,雇用の不安定さは労働者の精神的健康に悪影響を与える可能性がある。,uncertainty; anxiety; instability; lack of confidence,Task 2のworkやmental healthで使いやすい。
23,head start,noun,/ˌhed ˈstɑːrt/,有利なスタート、先行する利点,an advantage at the beginning,他の人より早く始めることで得られる有利さを表す。教育・仕事・子どもの発達の話題で使いやすい。,give someone a head start / get a head start / have a head start / early head start,Children who read from an early age may have a head start at school.,幼い頃から読書をする子どもは、学校で有利なスタートを切れるかもしれない。,advantage; early advantage; benefit; lead,SpeakingやTask 2で自然に使える表現。
24,receptive,adjective,/rɪˈseptɪv/,受け入れやすい、理解を示す,willing to accept new ideas,新しい考え・提案・変化を受け入れる態度を表す。人の性格や社会の姿勢を説明する時に便利。,receptive to ideas / receptive to change / highly receptive / become more receptive,Young people are often more receptive to new technology.,若者は新しい技術をより受け入れやすいことが多い。,open-minded; willing; accepting; responsive,Task 2のtechnologyやeducation topicで使いやすい。
25,emphatic,adjective,/ɪmˈfætɪk/,強調された、断固とした,clear and forceful,“empathy” とは関係がなく、「強い口調の」「はっきりした」という意味。意見や返答が明確で強い時に使う。,emphatic statement / emphatic answer / emphatic rejection / be emphatic about something,The government made an emphatic statement about the need for reform.,政府は改革の必要性について断固とした声明を出した。,forceful; strong; clear; firm,“empathetic” と混同注意。IELTS Writingでは少し硬めの表現。
26,labour-intensive,adjective,/ˌleɪbər ɪnˈtensɪv/,労働集約的な、多くの人手を必要とする,needing a lot of human work,機械よりも人手を多く必要とする産業や作業に使う。経済・農業・製造業の話題で便利。,labour-intensive industry / labour-intensive work / labour-intensive farming / highly labour-intensive,Agriculture is still labour-intensive in many developing countries.,多くの発展途上国では、農業はいまだに労働集約的である。,manual; work-heavy; manpower-intensive; requiring much labour,Task 1のprocessやTask 2のwork・economyで使える。英国式スペルは labour。
27,vice versa,phrase,/ˌvaɪs ˈvɜːrsə/,逆もまた同じ、その逆も同様に,the opposite is also true,前に述べた関係が逆方向にも成り立つことを表す。便利だが、Writingで多用すると少し会話的に見えることもある。,A affects B and vice versa / true vice versa / and vice versa / influence each other vice versa,"Parents influence their children’s habits, and vice versa.",親は子どもの習慣に影響を与え、その逆もまた同様である。,the reverse is also true; conversely; the opposite is also true; in reverse,Speakingでは自然。Writingでは “the reverse is also true” の方が安全な場合もある。
28,versa,phrase,/ˈvɜːrsə/,単独ではほぼ使わない語,used only as part of “vice versa”,“versa” は普通、単独では使わず “vice versa” というセット表現で使う。単語として覚えるより、フレーズ全体で覚えるべき。,vice versa / not used alone / part of vice versa / learn vice versa as a phrase,The word “versa” is normally used only in the phrase “vice versa.”,“versa” という語は通常 “vice versa” という表現の中だけで使われる。,in reverse; the other way round; conversely; vice versa,単独でWritingに使わないこと。Ankiでは “vice versa” とセットで覚える。
29,futile,adjective,/ˈfjuːtl/,無駄な、効果のない,useless because it has no result,努力しても結果が出ない、意味がない時に使う。やや強い否定語なので、意見文では理由と一緒に使うと自然。,futile effort / futile attempt / seem futile / completely futile,It is futile to introduce new rules without proper enforcement.,適切な執行なしに新しい規則を導入しても無駄である。,useless; pointless; ineffective; unproductive,Task 2で反対意見を述べる時に使えるが、強い語なので使いすぎ注意。
30,assume,verb,/əˈsuːm/,仮定する、思い込む,to think something is true without proof,証拠が十分でないまま本当だと考える時に使う。Writingでは “It is often assumed that...” の形が便利。,assume that / commonly assume / wrongly assume / assume responsibility,"Many people assume that technology always improves education, but this is not necessarily true.",多くの人は技術が常に教育を改善すると考えているが、必ずしもそうではない。,suppose; presume; believe; take for granted,Task 2で一般的な考えを紹介してから反論する時に便利。
31,speculate,verb,/ˈspekjəleɪt/,推測する、憶測する,to guess without having enough evidence,十分な証拠がない状態で理由や結果を考える時に使う。Writingでは断定を避けたい時に便利だが、“guess” よりフォーマル。,speculate about the cause / speculate that / widely speculate / avoid speculating,It is difficult to speculate about the long-term effects of this policy.,この政策の長期的な影響について推測するのは難しい。,guess; suppose; assume; theorise,Task 2で慎重に意見を述べる時に便利。
32,urge,verb,/ɝːdʒ/,強く促す、勧める,to strongly advise or ask someone to do something,単なる “ask” より強く、行動を取るように求める時に使う。政府・専門家・団体が人々に何かを促す文でよく使う。,urge people to act / urge the government to / strongly urge / urge immediate action,Experts urge governments to invest more in renewable energy.,専門家は政府に再生可能エネルギーへさらに投資するよう強く促している。,encourage; press; call on; recommend,Task 2で “Experts urge...” “Governments should urge...” の形が使いやすい。
33,object to,phrase,/əbˈdʒekt tuː/,反対する、異議を唱える,to disagree with something,“object” は動詞では「反対する」という意味になり、必ず “to” が続く。“object to doing” の形に注意。,object to the plan / object to paying fees / strongly object to / object to the proposal,Some residents object to building a new airport near their homes.,一部の住民は自宅の近くに新しい空港を建設することに反対している。,oppose; disagree with; protest against; resist,Task 2で反対意見を説明する時に便利。“object to build” ではなく “object to building”。
34,concede,verb,/kənˈsiːd/,認める、譲歩する,to admit that something is true,自分に不利な点や相手の意見の一部を認める時に使う。Task 2で反対意見を一部認めてから自分の主張を述べる時に便利。,concede that / concede a point / reluctantly concede / concede defeat,It must be conceded that online learning is not suitable for every student.,オンライン学習がすべての生徒に適しているわけではないことは認めなければならない。,admit; acknowledge; accept; allow,Task 2で “It must be conceded that...” はかなり使える。
35,lingua franca,noun,/ˌlɪŋɡwə ˈfræŋkə/,共通語、国際共通語,a common language used by people who speak different native languages,母語が異なる人々の間で使われる共通語を指す。英語・グローバル化・教育の話題でよく使える。,global lingua franca / English as a lingua franca / serve as a lingua franca / international lingua franca,English is widely used as a lingua franca in international business.,英語は国際ビジネスで共通語として広く使われている。,common language; international language; shared language; bridge language,Task 2のlanguageやglobalisationの話題で便利。
36,empathy,noun,/ˈempəθi/,共感、他人の気持ちを理解する力,the ability to understand others’ feelings,“sympathy” が「かわいそうに思う」に近いのに対し、“empathy” は相手の立場に立って気持ちを理解する力。教育・人間関係・医療の話題で使いやすい。,show empathy / develop empathy / empathy for others / lack empathy,Reading fiction can help children develop empathy for others.,小説を読むことは、子どもが他人への共感力を育てるのに役立つ。,understanding; compassion; sensitivity; emotional awareness,Task 2のeducationやsocial skillsで非常に使いやすい。
37,interpretation skills,noun,/ɪnˌtɝːprəˈteɪʃən skɪlz/,解釈力、読み取る力,the ability to understand meaning,文章・データ・人の発言などの意味を正しく読み取る能力を表す。IELTS ReadingやWritingで「情報を理解する力」を説明する時に使える。,improve interpretation skills / strong interpretation skills / data interpretation skills / develop interpretation skills,Students need strong interpretation skills to understand complex texts.,学生は複雑な文章を理解するために高い解釈力が必要である。,analytical skills; comprehension skills; understanding; reading skills,ReadingやWriting Task 1のデータ読み取りに関連して使える。
38,reading comprehension,noun,/ˈriːdɪŋ ˌkɑːmprɪˈhenʃən/,読解力,the ability to understand written texts,文章を読んで内容・意図・細部を理解する力を表す。IELTS Readingの中心的な能力を説明する語。,improve reading comprehension / reading comprehension skills / test reading comprehension / poor reading comprehension,Regular reading can improve students’ reading comprehension.,定期的な読書は学生の読解力を向上させることができる。,text understanding; comprehension; literacy skills; reading ability,IELTS Readingの学習メモで重要。Writingでもeducation topicで使える。
39,social inequality,noun,/ˌsoʊʃəl ˌɪnɪˈkwɑːləti/,社会的不平等,unfair differences between social groups,収入・教育・医療・機会などにおける社会的な格差を表す。Task 2の貧困・教育・福祉・都市問題で非常に使いやすい。,reduce social inequality / increase social inequality / address social inequality / social inequality in education,Free education can help reduce social inequality.,無償教育は社会的不平等を減らすのに役立つ。,social gap; inequality; disparity; unfairness,Task 2でかなり使いやすい重要表現。
40,threaten,verb,/ˈθretən/,脅かす、危険にさらす,to put someone or something in danger,人を脅す意味もあるが、IELTSでは環境・健康・安全を「脅かす」という意味でよく使う。,threaten biodiversity / threaten public health / threaten survival / seriously threaten,Pollution can threaten the survival of many marine species.,汚染は多くの海洋生物の生存を脅かす可能性がある。,endanger; put at risk; jeopardise; harm,Task 2のenvironmentやhealthで使いやすい。
41,campaigns,noun,/kæmˈpeɪnz/,キャンペーン、運動,organized actions to achieve a goal,社会問題・政治・健康・環境などについて、人々の意識や行動を変えるための組織的な活動を指す。Task 2で解決策として使いやすい。,public awareness campaigns / environmental campaigns / health campaigns / launch campaigns,Governments should launch public awareness campaigns to reduce plastic waste.,政府はプラスチックごみを減らすために啓発キャンペーンを始めるべきである。,movements; initiatives; drives; public actions,Task 2のsolution paragraphで便利。
42,poaching,noun,/ˈpoʊtʃɪŋ/,密猟,illegal hunting or catching of animals,野生動物を違法に捕まえたり殺したりすること。環境・絶滅危惧種・法律の話題でよく出る。,illegal poaching / prevent poaching / poaching of elephants / anti-poaching measures,Poaching is one of the main reasons why some species are endangered.,密猟は一部の種が絶滅危惧状態にある主な理由の一つである。,illegal hunting; wildlife crime; animal trafficking; unlawful hunting,Task 2のwildlife protectionで重要。
43,habitat,noun,/ˈhæbɪtæt/,生息地、住みか,the natural home of a plant or animal,動植物が自然に暮らす場所を表す。環境問題では “habitat loss” が非常によく使われる。,natural habitat / habitat loss / destroy habitats / protect habitats,Deforestation destroys the natural habitats of many animals.,森林伐採は多くの動物の自然な生息地を破壊する。,environment; natural home; ecosystem; living area,Task 2のenvironmentで必須レベル。
44,degradation,noun,/ˌdeɡrəˈdeɪʃən/,悪化、劣化、低下,the process of becoming worse,環境・土地・品質・社会状況などが悪くなることを表すフォーマルな語。特に “environmental degradation” が頻出。,environmental degradation / land degradation / soil degradation / cause degradation,Industrial development can lead to environmental degradation if it is not controlled.,産業開発は管理されなければ環境劣化につながる可能性がある。,deterioration; decline; damage; worsening,Task 2のenvironmentでとても使いやすい。
45,surface runoff,noun,/ˈsɝːfɪs ˈrʌnɔːf/,表面流出、地表を流れる水,water that flows over the land surface,雨水や雪解け水が地面にしみ込まず、地表を流れる現象。環境・洪水・水質汚染の話題で使う専門寄りの語。,reduce surface runoff / polluted surface runoff / surface runoff from farms / increase surface runoff,Heavy rainfall can increase surface runoff and cause flooding.,大雨は表面流出を増やし、洪水を引き起こす可能性がある。,overland flow; runoff; rainwater flow; water flow,Task 2では環境問題で使えるが、少し専門的。
46,pioneer,noun,/ˌpaɪəˈnɪr/,先駆者、開拓者,a person who is one of the first to do something,新しい分野・技術・考え方を最初に始めた人や組織を指す。研究・技術・社会改革の話題で使える。,a pioneer in medicine / technology pioneer / educational pioneer / pioneer of renewable energy,Some countries have become pioneers in the development of clean energy.,一部の国はクリーンエネルギー開発の先駆者となっている。,innovator; forerunner; trailblazer; founder,SpeakingやTask 2で使えるが、人・国・会社など主語を明確にする。
47,runoff,noun,/ˈrʌnɔːf/,流出水、雨水の流出,water that flows away over land,雨や雪解け水が地表を流れて川や海に入ること。農薬・肥料・汚染物質が水に運ばれる文脈でよく使う。,agricultural runoff / polluted runoff / stormwater runoff / reduce runoff,Agricultural runoff can carry chemicals into rivers and lakes.,農業からの流出水は化学物質を川や湖に運ぶ可能性がある。,surface water flow; drainage; overflow; water runoff,environment topicで使える。surface runoffより少し広い表現。
48,crowd out,phrase,/kraʊd aʊt/,押しのける、締め出す,to force something out by taking its place,他のものが増えた結果、別のものの場所・時間・機会がなくなる時に使う。経済・教育・社会変化の話題で便利。,crowd out small businesses / crowd out local culture / crowd out investment / crowd out traditional jobs,Large supermarkets may crowd out small local shops.,大型スーパーは地元の小さな店を押しのける可能性がある。,displace; push out; replace; squeeze out,Task 2でglobalisationやeconomyの話題に使いやすい。
49,sawmill,noun,/ˈsɔːmɪl/,製材所,a place where logs are cut into wood,丸太を板材などに加工する施設を指す。日常語ではないが、森林・木材産業・バイオマスの文脈で使える。,local sawmill / timber sawmill / operate a sawmill / sawmill waste,Sawmill waste can be used as a source of biomass energy.,製材所の廃材はバイオマスエネルギー源として利用できる。,timber mill; wood-processing plant; lumber mill; wood mill,環境・バイオマス・産業の文脈で使える専門寄りの語。
50,ice cap,noun,/ˈaɪs kæp/,氷冠、広い氷の層,a large area of ice covering land,“icecap” とも書かれるが、一般的には “ice cap” と分けて書くことが多い。気候変動・海面上昇の話題で使いやすい。,melting ice caps / polar ice caps / shrink ice caps / ice cap loss,Melting ice caps contribute to rising sea levels.,氷冠の融解は海面上昇の一因となる。,glacier; ice sheet; polar ice; frozen cover,Task 2のclimate changeで便利。“ice sheet” はより大規模な氷床を指すことが多い。
51,desertification,noun,/dɪˌzɝːtɪfɪˈkeɪʃən/,砂漠化,the process by which land becomes desert,土地が乾燥し、農業や植物の成長に適さなくなること。環境問題・気候変動・農業の話題で使いやすい。,cause desertification / prevent desertification / soil desertification / desertification in dry areas,Climate change and overgrazing can accelerate desertification.,気候変動と過放牧は砂漠化を加速させる可能性がある。,land degradation; soil degradation; drying of land; environmental decline,Task 2のenvironment topicで非常に使いやすい。
52,estuary,noun,/ˈestʃueri/,河口、入り江,the wide part of a river where it meets the sea,川が海に流れ込む場所を指す。地理・環境・生態系の文脈で出る語で、日常会話よりReading向き。,river estuary / coastal estuary / estuary ecosystem / protect estuaries,Many birds and fish live in estuary ecosystems.,多くの鳥や魚は河口の生態系に生息している。,river mouth; coastal inlet; bay; wetland,Readingやenvironment topicで出やすい。Writingで無理に使う必要は少ない。
53,erosion,noun,/ɪˈroʊʒən/,浸食、侵食,the gradual wearing away of soil or land,水・風・波などによって土や岩が削られること。環境問題や農業被害を説明する時に便利。,soil erosion / coastal erosion / prevent erosion / erosion caused by rainfall,Deforestation can lead to serious soil erosion.,森林伐採は深刻な土壌侵食につながる可能性がある。,wearing away; land loss; soil loss; degradation,Task 2のenvironmentで使いやすい基本語。
54,strip mining,noun,/ˈstrɪp ˌmaɪnɪŋ/,露天掘り、表土をはがす採掘,a mining method that removes surface layers of land,地表の土や岩を取り除いて鉱物を採掘する方法。環境破壊・土地劣化の話題で使えるが、やや専門的。,strip mining operations / damage from strip mining / strip mining areas / regulate strip mining,Strip mining can destroy habitats and damage local landscapes.,露天掘りは生息地を破壊し、地域の景観に損害を与える可能性がある。,open-pit mining; surface mining; mining operation; excavation,Task 2のenvironmentやresource topicで使える。
55,interpersonal,adjective,/ˌɪntərˈpɝːsənəl/,対人関係の、人と人との,between people,人間関係やコミュニケーション能力について話す時に使う。仕事・教育・心理学の話題で便利。,interpersonal skills / interpersonal communication / interpersonal relationships / improve interpersonal ability,Good interpersonal skills are essential in the workplace.,良い対人スキルは職場で不可欠である。,social; relational; people-related; communication-based,SpeakingやTask 2のwork・education topicで使いやすい。
56,in the same vein,phrase,/ɪn ðə seɪm veɪn/,同じように、同じ流れで,in a similar way,前の内容と似た考えを続ける時に使う表現。ややフォーマルで、Writingでは段落内のつながりを作るのに役立つ。,"in the same vein, it can be argued / in the same vein, some people believe / continue in the same vein / argue in the same vein","In the same vein, schools should teach students how to manage stress.",同じように、学校は生徒にストレス管理の方法を教えるべきである。,similarly; likewise; in a similar way; along the same lines,Task 2で使えるが、多用せず “Similarly” と使い分けるとよい。
57,betterment,noun,/ˈbetərmənt/,改善、向上,the process of improving something,“improvement” より少し硬く、社会や人々の生活を良くする文脈で使われる。少し古め・フォーマルなので使いすぎ注意。,social betterment / personal betterment / betterment of society / work for betterment,Education can contribute to the betterment of society.,教育は社会の改善に貢献できる。,improvement; progress; advancement; development,Task 2で使えるが、自然さでは “improvement” の方が安全。
58,self-awareness,noun,/ˌself əˈwernəs/,自己認識、自分を理解する力,the ability to understand your own feelings and behaviour,自分の感情・強み・弱み・行動を理解する力。教育・仕事・メンタルヘルスの話題で使いやすい。,develop self-awareness / improve self-awareness / strong self-awareness / lack self-awareness,Self-awareness helps students understand their strengths and weaknesses.,自己認識は学生が自分の強みと弱みを理解するのに役立つ。,self-understanding; self-knowledge; personal insight; awareness of oneself,Task 2のeducationやpersonal developmentで便利。
59,emotional intelligence,noun,/ɪˈmoʊʃənəl ɪnˈtelɪdʒəns/,感情知能、感情を理解し管理する力,the ability to understand and manage emotions,自分や他人の感情を理解し、適切に対応する力。教育・職場・人間関係の話題で非常に使いやすい。,develop emotional intelligence / high emotional intelligence / emotional intelligence skills / improve emotional intelligence,Emotional intelligence can help people communicate more effectively.,感情知能は人々がより効果的にコミュニケーションを取るのに役立つ。,emotional awareness; social intelligence; empathy; emotional control,Task 2のeducation・work・relationship topicで使える。
60,reflective thinking,noun,/rɪˈflektɪv ˈθɪŋkɪŋ/,内省的思考、振り返って考える力,thinking carefully about experiences and actions,自分の経験や行動を振り返り、改善につなげる考え方。教育・学習・自己成長の文脈で使いやすい。,encourage reflective thinking / develop reflective thinking / reflective thinking skills / promote reflective thinking,Teachers can encourage reflective thinking through journals and discussions.,教師は日記や議論を通して内省的思考を促すことができる。,critical reflection; self-reflection; thoughtful analysis; deep thinking,Task 2のeducation topicで便利。
61,adulthood,noun,/əˈdʌlthʊd/,成人期、大人である時期,the period of being an adult,子ども時代と対比して、大人として生活する時期を指す。教育・成長・責任の話題で使いやすい。,enter adulthood / prepare for adulthood / early adulthood / transition to adulthood,Schools should prepare young people for adulthood.,学校は若者が成人期に備えられるようにすべきである。,adult life; maturity; grown-up life; adult years,SpeakingやTask 2のeducation・family topicで使いやすい。
62,dominance,noun,/ˈdɑːmənəns/,支配、優位,dominant power or control,人・国・企業・考え方などが他より強い影響力を持つ状態を表す。やや硬い語で、経済・社会・文化の話題で使える。,market dominance / male dominance / economic dominance / dominance over others,The dominance of large companies can make it difficult for small businesses to survive.,大企業の支配的地位は、小規模企業が生き残ることを難しくする可能性がある。,control; superiority; power; influence,Task 2のbusiness・gender・society topicで使える。
63,elementary education,noun,/ˌeləˈmentəri ˌedʒuˈkeɪʃən/,初等教育、基礎教育,education for young children,主に小学校段階の教育を指す。国によって制度が違うため、Writingでは “primary education” の方が一般的な場合もある。,elementary education system / access to elementary education / improve elementary education / elementary education level,Elementary education plays an important role in developing basic literacy skills.,初等教育は基本的な読み書き能力を育てる上で重要な役割を果たす。,primary education; basic education; early schooling; grade-school education,Task 2のeducation topicで使える。“primary education” も覚えるとよい。
